N,TipDate,Algoritm,TimpSec
100,Random,BubbleSort,0.000023
100,Random,InsertionSort,0.000015
100,Random,MergeSort,0.000067
100,Sortat,BubbleSort,0.000012
100,Sortat,InsertionSort,0.000001
100,Sortat,MergeSort,0.000026
100,Inversat,BubbleSort,0.000028
100,Inversat,InsertionSort,0.000015
100,Inversat,MergeSort,0.000032
100,AproapeSortat,BubbleSort,0.000012
100,AproapeSortat,InsertionSort,0.000004
100,AproapeSortat,MergeSort,0.000030
200,Random,BubbleSort,0.000085
200,Random,InsertionSort,0.000030
200,Random,MergeSort,0.000064
200,Sortat,BubbleSort,0.000044
200,Sortat,InsertionSort,0.000001
200,Sortat,MergeSort,0.000059
200,Inversat,BubbleSort,0.000093
200,Inversat,InsertionSort,0.000092
200,Inversat,MergeSort,0.000096
200,AproapeSortat,BubbleSort,0.000079
200,AproapeSortat,InsertionSort,0.000008
200,AproapeSortat,MergeSort,0.000057
300,Random,BubbleSort,0.000174
300,Random,InsertionSort,0.000058
300,Random,MergeSort,0.000103
300,Sortat,BubbleSort,0.000101
300,Sortat,InsertionSort,0.000002
300,Sortat,MergeSort,0.000077
300,Inversat,BubbleSort,0.000180
300,Inversat,InsertionSort,0.000130
300,Inversat,MergeSort,0.000114
300,AproapeSortat,BubbleSort,0.000138
300,AproapeSortat,InsertionSort,0.000018
300,AproapeSortat,MergeSort,0.000118
400,Random,BubbleSort,0.000327
400,Random,InsertionSort,0.000112
400,Random,MergeSort,0.000137
400,Sortat,BubbleSort,0.000193
400,Sortat,InsertionSort,0.000002
400,Sortat,MergeSort,0.000149
400,Inversat,BubbleSort,0.000305
400,Inversat,InsertionSort,0.000202
400,Inversat,MergeSort,0.000200
400,AproapeSortat,BubbleSort,0.000275
400,AproapeSortat,InsertionSort,0.000019
400,AproapeSortat,MergeSort,0.000169
500,Random,BubbleSort,0.000519
500,Random,InsertionSort,0.000192
500,Random,MergeSort,0.000159
500,Sortat,BubbleSort,0.000264
500,Sortat,InsertionSort,0.000002
500,Sortat,MergeSort,0.000133
500,Inversat,BubbleSort,0.000469
500,Inversat,InsertionSort,0.000303
500,Inversat,MergeSort,0.000132
500,AproapeSortat,BubbleSort,0.000289
500,AproapeSortat,InsertionSort,0.000020
500,AproapeSortat,MergeSort,0.000138
600,Random,BubbleSort,0.000600
600,Random,InsertionSort,0.000228
600,Random,MergeSort,0.000195
600,Sortat,BubbleSort,0.000373
600,Sortat,InsertionSort,0.000002
600,Sortat,MergeSort,0.000151
600,Inversat,BubbleSort,0.000777
600,Inversat,InsertionSort,0.000432
600,Inversat,MergeSort,0.000209
600,AproapeSortat,BubbleSort,0.000565
600,AproapeSortat,InsertionSort,0.000050
600,AproapeSortat,MergeSort,0.000243
700,Random,BubbleSort,0.000991
700,Random,InsertionSort,0.000352
700,Random,MergeSort,0.000270
